,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,OR,1,0.1,1,3,100.0,1.639344262295082,100.0
1,ckm_physicians,OR,1,0.1,1,3,48.54771784232365,1.2448132780082988,47.89915966386554
2,eu_transportation,OR,1,0.1,1,4,100.0,1.1990407673860912,100.00000000000001
3,lazega,OR,1,0.1,1,4,100.0,1.4084507042253522,100.0
4,er2,OR,1,0.1,1,4,100.0,1.0,100.0
5,er3,OR,1,0.1,1,3,100.0,1.0,100.0
6,er5,OR,1,0.1,1,3,100.0,1.0,100.0
7,sf2,OR,1,0.1,1,3,79.9,1.0,79.6969696969697
8,sf3,OR,1,0.1,1,3,87.8,1.0,87.67676767676768
9,sf5,OR,1,0.1,1,3,98.8,1.0,98.78787878787878
10,aucs,OR,1,0.2,1,4,100.0,1.639344262295082,100.0
11,ckm_physicians,OR,1,0.2,1,4,48.54771784232365,1.2448132780082988,47.89915966386554
12,eu_transportation,OR,1,0.2,1,4,100.0,1.1990407673860912,100.00000000000001
13,lazega,OR,1,0.2,1,0,1.4084507042253522,1.4084507042253522,0.0
14,er2,OR,1,0.2,1,6,100.0,1.0,100.0
15,er3,OR,1,0.2,1,5,100.0,1.0,100.0
16,er5,OR,1,0.2,1,4,100.0,1.0,100.0
17,sf2,OR,1,0.2,1,4,79.9,1.0,79.6969696969697
18,sf3,OR,1,0.2,1,3,87.8,1.0,87.67676767676768
19,sf5,OR,1,0.2,1,3,98.8,1.0,98.78787878787878
20,aucs,OR,1,0.30000000000000004,1,5,100.0,1.639344262295082,100.0
21,ckm_physicians,OR,1,0.30000000000000004,1,4,48.54771784232365,1.2448132780082988,47.89915966386554
22,eu_transportation,OR,1,0.30000000000000004,1,5,100.0,1.1990407673860912,100.00000000000001
23,lazega,OR,1,0.30000000000000004,1,0,1.4084507042253522,1.4084507042253522,0.0
24,er2,OR,1,0.30000000000000004,1,4,4.5,1.0,3.5353535353535355
25,er3,OR,1,0.30000000000000004,1,6,100.0,1.0,100.0
26,er5,OR,1,0.30000000000000004,1,5,100.0,1.0,100.0
27,sf2,OR,1,0.30000000000000004,1,5,79.9,1.0,79.6969696969697
28,sf3,OR,1,0.30000000000000004,1,4,87.8,1.0,87.67676767676768
29,sf5,OR,1,0.30000000000000004,1,4,98.8,1.0,98.78787878787878
30,aucs,OR,1,0.4,1,17,100.0,1.639344262295082,100.0
31,ckm_physicians,OR,1,0.4,1,7,48.54771784232365,1.2448132780082988,47.89915966386554
32,eu_transportation,OR,1,0.4,1,7,98.56115107913669,1.1990407673860912,98.54368932038835
33,lazega,OR,1,0.4,1,0,1.4084507042253522,1.4084507042253522,0.0
34,er2,OR,1,0.4,1,1,1.2,1.0,0.202020202020202
35,er3,OR,1,0.4,1,4,3.0,1.0,2.0202020202020203
36,er5,OR,1,0.4,1,1,1.6,1.0,0.6060606060606061
37,sf2,OR,1,0.4,1,6,8.200000000000001,1.0,7.272727272727274
38,sf3,OR,1,0.4,1,18,87.8,1.0,87.67676767676768
39,sf5,OR,1,0.4,1,6,98.8,1.0,98.78787878787878
40,aucs,OR,1,0.5,1,0,1.639344262295082,1.639344262295082,0.0
41,ckm_physicians,OR,1,0.5,1,5,4.979253112033195,1.2448132780082988,3.7815126050420163
42,eu_transportation,OR,1,0.5,1,8,95.92326139088729,1.1990407673860912,95.873786407767
43,lazega,OR,1,0.5,1,0,1.4084507042253522,1.4084507042253522,0.0
44,er2,OR,1,0.5,1,0,1.0,1.0,0.0
45,er3,OR,1,0.5,1,1,1.3,1.0,0.30303030303030304
46,er5,OR,1,0.5,1,1,1.2,1.0,0.202020202020202
47,sf2,OR,1,0.5,1,2,3.8,1.0,2.8282828282828283
48,sf3,OR,1,0.5,1,2,2.8000000000000003,1.0,1.8181818181818186
49,sf5,OR,1,0.5,1,6,8.1,1.0,7.171717171717172
50,aucs,OR,1,0.6,1,0,1.639344262295082,1.639344262295082,0.0
51,ckm_physicians,OR,1,0.6,1,2,3.319502074688797,1.2448132780082988,2.100840336134454
52,eu_transportation,OR,1,0.6,1,8,95.92326139088729,1.1990407673860912,95.873786407767
53,lazega,OR,1,0.6,1,0,1.4084507042253522,1.4084507042253522,0.0
54,er2,OR,1,0.6,1,0,1.0,1.0,0.0
55,er3,OR,1,0.6,1,1,1.3,1.0,0.30303030303030304
56,er5,OR,1,0.6,1,1,1.2,1.0,0.202020202020202
57,sf2,OR,1,0.6,1,2,3.8,1.0,2.8282828282828283
58,sf3,OR,1,0.6,1,2,2.8000000000000003,1.0,1.8181818181818186
59,sf5,OR,1,0.6,1,4,7.8,1.0,6.8686868686868685
60,aucs,OR,1,0.7000000000000001,1,0,1.639344262295082,1.639344262295082,0.0
61,ckm_physicians,OR,1,0.7000000000000001,1,1,2.4896265560165975,1.2448132780082988,1.2605042016806722
62,eu_transportation,OR,1,0.7000000000000001,1,5,91.60671462829735,1.1990407673860912,91.50485436893203
63,lazega,OR,1,0.7000000000000001,1,0,1.4084507042253522,1.4084507042253522,0.0
64,er2,OR,1,0.7000000000000001,1,0,1.0,1.0,0.0
65,er3,OR,1,0.7000000000000001,1,1,1.3,1.0,0.30303030303030304
66,er5,OR,1,0.7000000000000001,1,1,1.2,1.0,0.202020202020202
67,sf2,OR,1,0.7000000000000001,1,1,1.7999999999999998,1.0,0.808080808080808
68,sf3,OR,1,0.7000000000000001,1,1,1.4000000000000001,1.0,0.4040404040404042
69,sf5,OR,1,0.7000000000000001,1,2,3.9,1.0,2.9292929292929295
70,aucs,OR,1,0.8,1,0,1.639344262295082,1.639344262295082,0.0
71,ckm_physicians,OR,1,0.8,1,1,2.4896265560165975,1.2448132780082988,1.2605042016806722
72,eu_transportation,OR,1,0.8,1,6,91.60671462829735,1.1990407673860912,91.50485436893203
73,lazega,OR,1,0.8,1,0,1.4084507042253522,1.4084507042253522,0.0
74,er2,OR,1,0.8,1,0,1.0,1.0,0.0
75,er3,OR,1,0.8,1,1,1.3,1.0,0.30303030303030304
76,er5,OR,1,0.8,1,1,1.2,1.0,0.202020202020202
77,sf2,OR,1,0.8,1,1,1.7999999999999998,1.0,0.808080808080808
78,sf3,OR,1,0.8,1,1,1.4000000000000001,1.0,0.4040404040404042
79,sf5,OR,1,0.8,1,2,3.9,1.0,2.9292929292929295
80,aucs,OR,1,0.9,1,0,1.639344262295082,1.639344262295082,0.0
81,ckm_physicians,OR,1,0.9,1,1,2.4896265560165975,1.2448132780082988,1.2605042016806722
82,eu_transportation,OR,1,0.9,1,7,89.20863309352518,1.1990407673860912,89.07766990291262
83,lazega,OR,1,0.9,1,0,1.4084507042253522,1.4084507042253522,0.0
84,er2,OR,1,0.9,1,0,1.0,1.0,0.0
85,er3,OR,1,0.9,1,1,1.3,1.0,0.30303030303030304
86,er5,OR,1,0.9,1,1,1.2,1.0,0.202020202020202
87,sf2,OR,1,0.9,1,1,1.7999999999999998,1.0,0.808080808080808
88,sf3,OR,1,0.9,1,1,1.4000000000000001,1.0,0.4040404040404042
89,sf5,OR,1,0.9,1,2,3.9,1.0,2.9292929292929295
90,aucs,OR,2,0.1,1,2,100.0,3.278688524590164,100.0
91,ckm_physicians,OR,2,0.1,1,3,48.54771784232365,2.0746887966804977,47.45762711864407
92,eu_transportation,OR,2,0.1,1,4,100.0,2.158273381294964,100.0
93,lazega,OR,2,0.1,1,3,100.0,2.8169014084507045,100.0
94,er2,OR,2,0.1,1,3,100.0,2.0,100.0
95,er3,OR,2,0.1,1,3,100.0,2.0,100.0
96,er5,OR,2,0.1,1,2,100.0,2.0,100.0
97,sf2,OR,2,0.1,1,3,79.9,2.0,79.48979591836735
98,sf3,OR,2,0.1,1,3,87.8,2.0,87.55102040816327
99,sf5,OR,2,0.1,1,2,98.8,2.0,98.77551020408163
100,aucs,OR,2,0.2,1,4,100.0,3.278688524590164,100.0
101,ckm_physicians,OR,2,0.2,1,3,48.54771784232365,2.0746887966804977,47.45762711864407
102,eu_transportation,OR,2,0.2,1,4,100.0,2.158273381294964,100.0
103,lazega,OR,2,0.2,1,1,7.042253521126761,2.8169014084507045,4.3478260869565215
104,er2,OR,2,0.2,1,5,100.0,2.0,100.0
105,er3,OR,2,0.2,1,4,100.0,2.0,100.0
106,er5,OR,2,0.2,1,3,100.0,2.0,100.0
107,sf2,OR,2,0.2,1,3,79.9,2.0,79.48979591836735
108,sf3,OR,2,0.2,1,3,87.8,2.0,87.55102040816327
109,sf5,OR,2,0.2,1,3,98.8,2.0,98.77551020408163
110,aucs,OR,2,0.30000000000000004,1,5,100.0,3.278688524590164,100.0
111,ckm_physicians,OR,2,0.30000000000000004,1,4,48.54771784232365,2.0746887966804977,47.45762711864407
112,eu_transportation,OR,2,0.30000000000000004,1,5,100.0,2.158273381294964,100.0
113,lazega,OR,2,0.30000000000000004,1,1,5.633802816901409,2.8169014084507045,2.8985507246376816
114,er2,OR,2,0.30000000000000004,1,9,100.0,2.0,100.0
115,er3,OR,2,0.30000000000000004,1,5,100.0,2.0,100.0
116,er5,OR,2,0.30000000000000004,1,4,100.0,2.0,100.0
117,sf2,OR,2,0.30000000000000004,1,4,79.9,2.0,79.48979591836735
118,sf3,OR,2,0.30000000000000004,1,4,87.8,2.0,87.55102040816327
119,sf5,OR,2,0.30000000000000004,1,3,98.8,2.0,98.77551020408163
120,aucs,OR,2,0.4,1,11,100.0,3.278688524590164,100.0
121,ckm_physicians,OR,2,0.4,1,5,48.54771784232365,2.0746887966804977,47.45762711864407
122,eu_transportation,OR,2,0.4,1,7,98.56115107913669,2.158273381294964,98.52941176470587
123,lazega,OR,2,0.4,1,0,2.8169014084507045,2.8169014084507045,0.0
124,er2,OR,2,0.4,1,2,2.7,2.0,0.7142857142857144
125,er3,OR,2,0.4,1,18,100.0,2.0,100.0
126,er5,OR,2,0.4,1,19,100.0,2.0,100.0
127,sf2,OR,2,0.4,1,8,79.9,2.0,79.48979591836735
128,sf3,OR,2,0.4,1,7,87.8,2.0,87.55102040816327
129,sf5,OR,2,0.4,1,4,98.8,2.0,98.77551020408163
130,aucs,OR,2,0.5,1,0,3.278688524590164,3.278688524590164,0.0
131,ckm_physicians,OR,2,0.5,1,7,13.692946058091287,2.0746887966804977,11.864406779661019
132,eu_transportation,OR,2,0.5,1,8,95.92326139088729,2.158273381294964,95.83333333333333
133,lazega,OR,2,0.5,1,0,2.8169014084507045,2.8169014084507045,0.0
134,er2,OR,2,0.5,1,0,2.0,2.0,0.0
135,er3,OR,2,0.5,1,1,2.7,2.0,0.7142857142857144
136,er5,OR,2,0.5,1,1,2.5,2.0,0.5102040816326531
137,sf2,OR,2,0.5,1,4,8.6,2.0,6.73469387755102
138,sf3,OR,2,0.5,1,4,9.5,2.0,7.653061224489796
139,sf5,OR,2,0.5,1,8,98.8,2.0,98.77551020408163
140,aucs,OR,2,0.6,1,0,3.278688524590164,3.278688524590164,0.0
141,ckm_physicians,OR,2,0.6,1,6,11.20331950207469,2.0746887966804977,9.322033898305087
142,eu_transportation,OR,2,0.6,1,8,95.92326139088729,2.158273381294964,95.83333333333333
143,lazega,OR,2,0.6,1,0,2.8169014084507045,2.8169014084507045,0.0
144,er2,OR,2,0.6,1,0,2.0,2.0,0.0
145,er3,OR,2,0.6,1,1,2.7,2.0,0.7142857142857144
146,er5,OR,2,0.6,1,1,2.5,2.0,0.5102040816326531
147,sf2,OR,2,0.6,1,4,8.5,2.0,6.63265306122449
148,sf3,OR,2,0.6,1,4,9.0,2.0,7.142857142857143
149,sf5,OR,2,0.6,1,8,98.8,2.0,98.77551020408163
150,aucs,OR,2,0.7000000000000001,1,0,3.278688524590164,3.278688524590164,0.0
151,ckm_physicians,OR,2,0.7000000000000001,1,1,3.7344398340248963,2.0746887966804977,1.6949152542372887
152,eu_transportation,OR,2,0.7000000000000001,1,5,91.60671462829735,2.158273381294964,91.42156862745097
153,lazega,OR,2,0.7000000000000001,1,0,2.8169014084507045,2.8169014084507045,0.0
154,er2,OR,2,0.7000000000000001,1,0,2.0,2.0,0.0
155,er3,OR,2,0.7000000000000001,1,1,2.5,2.0,0.5102040816326531
156,er5,OR,2,0.7000000000000001,1,1,2.3,2.0,0.3061224489795917
157,sf2,OR,2,0.7000000000000001,1,2,3.1,2.0,1.1224489795918369
158,sf3,OR,2,0.7000000000000001,1,1,3.5999999999999996,2.0,1.6326530612244896
159,sf5,OR,2,0.7000000000000001,1,4,9.5,2.0,7.653061224489796
160,aucs,OR,2,0.8,1,0,3.278688524590164,3.278688524590164,0.0
161,ckm_physicians,OR,2,0.8,1,1,3.7344398340248963,2.0746887966804977,1.6949152542372887
162,eu_transportation,OR,2,0.8,1,6,91.60671462829735,2.158273381294964,91.42156862745097
163,lazega,OR,2,0.8,1,0,2.8169014084507045,2.8169014084507045,0.0
164,er2,OR,2,0.8,1,0,2.0,2.0,0.0
165,er3,OR,2,0.8,1,1,2.5,2.0,0.5102040816326531
166,er5,OR,2,0.8,1,1,2.3,2.0,0.3061224489795917
167,sf2,OR,2,0.8,1,1,2.9000000000000004,2.0,0.9183673469387758
168,sf3,OR,2,0.8,1,1,2.9000000000000004,2.0,0.9183673469387758
169,sf5,OR,2,0.8,1,4,8.6,2.0,6.73469387755102
170,aucs,OR,2,0.9,1,0,3.278688524590164,3.278688524590164,0.0
171,ckm_physicians,OR,2,0.9,1,1,3.7344398340248963,2.0746887966804977,1.6949152542372887
172,eu_transportation,OR,2,0.9,1,7,89.20863309352518,2.158273381294964,88.97058823529412
173,lazega,OR,2,0.9,1,0,2.8169014084507045,2.8169014084507045,0.0
174,er2,OR,2,0.9,1,0,2.0,2.0,0.0
175,er3,OR,2,0.9,1,1,2.5,2.0,0.5102040816326531
176,er5,OR,2,0.9,1,1,2.3,2.0,0.3061224489795917
177,sf2,OR,2,0.9,1,1,2.9000000000000004,2.0,0.9183673469387758
178,sf3,OR,2,0.9,1,1,2.9000000000000004,2.0,0.9183673469387758
179,sf5,OR,2,0.9,1,4,8.6,2.0,6.73469387755102
180,aucs,OR,3,0.1,1,2,100.0,3.278688524590164,100.0
181,ckm_physicians,OR,3,0.1,1,3,48.54771784232365,3.319502074688797,46.78111587982832
182,eu_transportation,OR,3,0.1,1,4,100.0,3.117505995203837,100.0
183,lazega,OR,3,0.1,1,2,100.0,4.225352112676056,100.0
184,er2,OR,3,0.1,1,3,100.0,3.0,100.0
185,er3,OR,3,0.1,1,3,100.0,3.0,100.0
186,er5,OR,3,0.1,1,2,100.0,3.0,100.0
187,sf2,OR,3,0.1,1,3,79.9,3.0,79.27835051546393
188,sf3,OR,3,0.1,1,2,87.8,3.0,87.42268041237114
189,sf5,OR,3,0.1,1,2,98.8,3.0,98.76288659793815
190,aucs,OR,3,0.2,1,4,100.0,3.278688524590164,100.0
191,ckm_physicians,OR,3,0.2,1,3,48.54771784232365,3.319502074688797,46.78111587982832
192,eu_transportation,OR,3,0.2,1,4,100.0,3.117505995203837,100.0
193,lazega,OR,3,0.2,1,4,100.0,4.225352112676056,100.0
194,er2,OR,3,0.2,1,4,100.0,3.0,100.0
195,er3,OR,3,0.2,1,4,100.0,3.0,100.0
196,er5,OR,3,0.2,1,3,100.0,3.0,100.0
197,sf2,OR,3,0.2,1,3,79.9,3.0,79.27835051546393
198,sf3,OR,3,0.2,1,3,87.8,3.0,87.42268041237114
199,sf5,OR,3,0.2,1,3,98.8,3.0,98.76288659793815
200,aucs,OR,3,0.30000000000000004,1,5,100.0,3.278688524590164,100.0
201,ckm_physicians,OR,3,0.30000000000000004,1,3,48.54771784232365,3.319502074688797,46.78111587982832
202,eu_transportation,OR,3,0.30000000000000004,1,5,100.0,3.117505995203837,100.0
203,lazega,OR,3,0.30000000000000004,1,1,8.450704225352112,4.225352112676056,4.411764705882353
204,er2,OR,3,0.30000000000000004,1,7,100.0,3.0,100.0
205,er3,OR,3,0.30000000000000004,1,5,100.0,3.0,100.0
206,er5,OR,3,0.30000000000000004,1,4,100.0,3.0,100.0
207,sf2,OR,3,0.30000000000000004,1,4,79.9,3.0,79.27835051546393
208,sf3,OR,3,0.30000000000000004,1,4,87.8,3.0,87.42268041237114
209,sf5,OR,3,0.30000000000000004,1,3,98.8,3.0,98.76288659793815
210,aucs,OR,3,0.4,1,11,100.0,3.278688524590164,100.0
211,ckm_physicians,OR,3,0.4,1,4,48.54771784232365,3.319502074688797,46.78111587982832
212,eu_transportation,OR,3,0.4,1,7,98.56115107913669,3.117505995203837,98.51485148514851
213,lazega,OR,3,0.4,1,0,4.225352112676056,4.225352112676056,0.0
214,er2,OR,3,0.4,1,4,4.9,3.0,1.9587628865979385
215,er3,OR,3,0.4,1,10,100.0,3.0,100.0
216,er5,OR,3,0.4,1,9,100.0,3.0,100.0
217,sf2,OR,3,0.4,1,7,79.9,3.0,79.27835051546393
218,sf3,OR,3,0.4,1,5,87.8,3.0,87.42268041237114
219,sf5,OR,3,0.4,1,4,98.8,3.0,98.76288659793815
220,aucs,OR,3,0.5,1,0,3.278688524590164,3.278688524590164,0.0
221,ckm_physicians,OR,3,0.5,1,9,48.54771784232365,3.319502074688797,46.78111587982832
222,eu_transportation,OR,3,0.5,1,8,95.92326139088729,3.117505995203837,95.79207920792079
223,lazega,OR,3,0.5,1,0,4.225352112676056,4.225352112676056,0.0
224,er2,OR,3,0.5,1,1,3.4000000000000004,3.0,0.4123711340206189
225,er3,OR,3,0.5,1,2,4.6,3.0,1.649484536082474
226,er5,OR,3,0.5,1,2,3.9,3.0,0.9278350515463916
227,sf2,OR,3,0.5,1,8,19.6,3.0,17.113402061855673
228,sf3,OR,3,0.5,1,14,87.8,3.0,87.42268041237114
229,sf5,OR,3,0.5,1,6,98.8,3.0,98.76288659793815
230,aucs,OR,3,0.6,1,0,3.278688524590164,3.278688524590164,0.0
231,ckm_physicians,OR,3,0.6,1,10,48.54771784232365,3.319502074688797,46.78111587982832
232,eu_transportation,OR,3,0.6,1,8,95.92326139088729,3.117505995203837,95.79207920792079
233,lazega,OR,3,0.6,1,0,4.225352112676056,4.225352112676056,0.0
234,er2,OR,3,0.6,1,1,3.4000000000000004,3.0,0.4123711340206189
