,network,protocol,seeding_budget,mi_value,repetition_run,diffusion_len,active_actors_prct,seed_actors_prct,gain
0,aucs,OR,1,0.1,1,3,100.0,1.639344262295082,100.0
1,ckm_physicians,OR,1,0.1,1,4,68.46473029045643,1.2448132780082988,68.0672268907563
2,eu_transportation,OR,1,0.1,1,4,100.0,1.1990407673860912,100.00000000000001
3,lazega,OR,1,0.1,1,3,100.0,1.4084507042253522,100.0
4,er2,OR,1,0.1,1,4,100.0,1.0,100.0
5,er3,OR,1,0.1,1,4,100.0,1.0,100.0
6,er5,OR,1,0.1,1,3,100.0,1.0,100.0
7,sf2,OR,1,0.1,1,3,79.9,1.0,79.6969696969697
8,sf3,OR,1,0.1,1,3,87.8,1.0,87.67676767676768
9,sf5,OR,1,0.1,1,3,98.8,1.0,98.78787878787878
10,aucs,OR,1,0.2,1,4,100.0,1.639344262295082,100.0
11,ckm_physicians,OR,1,0.2,1,4,68.46473029045643,1.2448132780082988,68.0672268907563
12,eu_transportation,OR,1,0.2,1,4,100.0,1.1990407673860912,100.00000000000001
13,lazega,OR,1,0.2,1,1,4.225352112676056,1.4084507042253522,2.857142857142857
14,er2,OR,1,0.2,1,6,100.0,1.0,100.0
15,er3,OR,1,0.2,1,5,100.0,1.0,100.0
16,er5,OR,1,0.2,1,4,100.0,1.0,100.0
17,sf2,OR,1,0.2,1,4,79.9,1.0,79.6969696969697
18,sf3,OR,1,0.2,1,4,87.8,1.0,87.67676767676768
19,sf5,OR,1,0.2,1,3,98.8,1.0,98.78787878787878
20,aucs,OR,1,0.30000000000000004,1,4,100.0,1.639344262295082,100.0
21,ckm_physicians,OR,1,0.30000000000000004,1,5,68.46473029045643,1.2448132780082988,68.0672268907563
22,eu_transportation,OR,1,0.30000000000000004,1,5,100.0,1.1990407673860912,100.00000000000001
23,lazega,OR,1,0.30000000000000004,1,0,1.4084507042253522,1.4084507042253522,0.0
24,er2,OR,1,0.30000000000000004,1,4,5.0,1.0,4.040404040404041
25,er3,OR,1,0.30000000000000004,1,6,100.0,1.0,100.0
26,er5,OR,1,0.30000000000000004,1,6,100.0,1.0,100.0
27,sf2,OR,1,0.30000000000000004,1,5,79.9,1.0,79.6969696969697
28,sf3,OR,1,0.30000000000000004,1,5,87.8,1.0,87.67676767676768
29,sf5,OR,1,0.30000000000000004,1,3,98.8,1.0,98.78787878787878
30,aucs,OR,1,0.4,1,7,100.0,1.639344262295082,100.0
31,ckm_physicians,OR,1,0.4,1,4,21.991701244813278,1.2448132780082988,21.008403361344538
32,eu_transportation,OR,1,0.4,1,7,98.56115107913669,1.1990407673860912,98.54368932038835
33,lazega,OR,1,0.4,1,0,1.4084507042253522,1.4084507042253522,0.0
34,er2,OR,1,0.4,1,2,1.3,1.0,0.30303030303030304
35,er3,OR,1,0.4,1,6,4.9,1.0,3.93939393939394
36,er5,OR,1,0.4,1,1,1.2,1.0,0.202020202020202
37,sf2,OR,1,0.4,1,9,8.1,1.0,7.171717171717172
38,sf3,OR,1,0.4,1,14,87.8,1.0,87.67676767676768
39,sf5,OR,1,0.4,1,6,98.8,1.0,98.78787878787878
40,aucs,OR,1,0.5,1,0,1.639344262295082,1.639344262295082,0.0
41,ckm_physicians,OR,1,0.5,1,9,20.74688796680498,1.2448132780082988,19.747899159663866
42,eu_transportation,OR,1,0.5,1,8,95.92326139088729,1.1990407673860912,95.873786407767
43,lazega,OR,1,0.5,1,0,1.4084507042253522,1.4084507042253522,0.0
44,er2,OR,1,0.5,1,0,1.0,1.0,0.0
45,er3,OR,1,0.5,1,2,1.4000000000000001,1.0,0.4040404040404042
46,er5,OR,1,0.5,1,0,1.0,1.0,0.0
47,sf2,OR,1,0.5,1,2,3.1,1.0,2.121212121212121
48,sf3,OR,1,0.5,1,2,2.9000000000000004,1.0,1.9191919191919196
49,sf5,OR,1,0.5,1,7,9.9,1.0,8.98989898989899
50,aucs,OR,1,0.6,1,0,1.639344262295082,1.639344262295082,0.0
51,ckm_physicians,OR,1,0.6,1,9,20.74688796680498,1.2448132780082988,19.747899159663866
52,eu_transportation,OR,1,0.6,1,8,95.92326139088729,1.1990407673860912,95.873786407767
53,lazega,OR,1,0.6,1,0,1.4084507042253522,1.4084507042253522,0.0
54,er2,OR,1,0.6,1,0,1.0,1.0,0.0
55,er3,OR,1,0.6,1,2,1.4000000000000001,1.0,0.4040404040404042
56,er5,OR,1,0.6,1,0,1.0,1.0,0.0
57,sf2,OR,1,0.6,1,2,3.1,1.0,2.121212121212121
